passenger_rates: 0
format: 3

{	77007	77014	6	 }
{	77007	77015	12	 }
{	77007	77026	42	 }
{	77007	77027	6	 }
{	77007	77028	12	 }
{	77007	77030	12	 }
{	77007	77031	6	 }
{	77007	77032	6	 }
{	77008	77009	6	 }
{	77008	77010	6	 }
{	77008	77011	6	 }
{	77008	77015	6	 }
{	77009	77010	6	 }
{	77009	77011	6	 }
{	77009	77015	6	 }
{	77010	77011	6	 }
{	77010	77013	6	 }
{	77010	77014	12	 }
{	77011	77012	6	 }
{	77011	77014	6	 }
{	77012	77013	6	 }
{	77012	77014	6	 }
{	77012	77015	6	 }
{	77013	77014	6	 }
{	77014	77015	12	 }
{	77015	77016	12	 }
{	77015	77017	6	 }
{	77015	77018	12	 }
{	77015	77020	12	 }
{	77015	77025	12	 }
{	77015	77026	48	 }
{	77015	77027	6	 }
{	77015	77028	12	 }
{	77015	77029	6	 }
{	77015	77030	6	 }
{	77015	77031	18	 }
{	77015	77032	6	 }
{	77015	77033	6	 }
{	77015	77034	6	 }
{	77015	77035	6	 }
{	77016	77017	6	 }
{	77018	77020	6	 }
{	77020	77034	6	 }
{	77026	77029	6	 }
{	77026	77031	6	 }
{	77026	77034	6	 }
{	77027	77034	6	 }
{	77029	77034	6	 }
{	77031	77033	6	 }
{	77001	17601	12	 }
{	77001	17619	6	 }
{	77007	17601	36	 }
{	77007	17602	18	 }
{	77007	17605	6	 }
{	77007	17611	6	 }
{	77007	17616	6	 }
{	77015	17600	6	 }
{	77015	17601	36	 }
{	77015	17602	12	 }
{	77015	17604	6	 }
{	77015	17607	12	 }
{	77015	17609	6	 }
{	77015	17610	6	 }
{	77015	17611	18	 }
{	77015	17615	6	 }
{	77015	17616	24	 }
{	77015	17617	6	 }
{	77015	17618	6	 }
{	77016	77017	6	 }
{	77018	77020	6	 }
{	77020	17617	6	 }
{	17602	17606	6	 }
{	17602	17607	6	 }
{	17602	17608	6	 }
{	17602	17611	12	 }
{	17602	17617	6	 }
{	17609	17617	6	 }
{	17611	17616	18	 }
{	17611	17617	6	 }
